Sample,MP2/(H29/29Ts),C3-Dibenzothiophenes/C3-Phenanthrenes/Anthracenes,C1-Naphthobenzothiophenes/C1-Fluoranthenes/Pyrenes,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,"2,6,10 Trimethyldodecane (1380)/C4-Decalins",27bb S/Hop,C26 Tricyclic Terpane-22S/H29,Tm/Bsnh,n-Tetracosane (C24)/Hop,H29/Hop,Bsnh/H29,29Ts/Hop,Benzo[e]pyrene/Hop,Pr/Phy,nC17/pristane,nC18/phytane,Type,Date,,,
170310-5,1.746832674,-8.844409994,10.08757673,15.25045264,-4.6763957,-35.26213078,-18.63110259,1.641013944,4.009048917,5.138286546,-10.83972243,-4.955244573,-6.368689124,6.308747133,-22.6692632,-0.230995275,-23.93330967,12.53043986,-16.29573713,-0.276958798,1.849714506,-3.327214241,7.612009834,-4.370380987,-25.15341438,-57.14638277,Group 3a,3/10/17,,,
20170316-01,-42.54396423,-14.14622261,14.27798421,-19.74469069,-52.53917318,-29.08455443,-12.2457179,-24.30338901,52.00599682,62.58117785,-11.95943386,-8.824538953,35.12077114,3.304608843,-46.91030332,1.685575432,-22.62863151,25.77054942,-29.27047197,-6.691891273,-18.93313264,-6.557151916,18.14699939,-23.74846123,155.9629687,-23.87058358,Group 2,3/16/17,,,
20170316-02,-30.05944797,-9.305379444,4.791290087,-9.076663603,-15.32230499,-31.63074503,-17.72275787,-16.39984556,0.098844778,11.6945652,-9.856623303,-8.305383702,-8.895158991,-6.944962753,-21.68228825,-7.647138246,-11.11691885,19.66461682,8.653152515,-9.967196314,-7.211822037,-18.41241817,-10.91886136,-7.400335564,152.7385625,36.94831952,Group 3a,3/16/17,,,
20170316-03,-30.85162079,-14.87732688,6.077285044,-11.24226863,-51.12410136,-29.3027558,-12.51573108,-15.78777677,88.37378671,61.82075718,-18.45465564,-12.04365535,55.095146,7.516138715,-31.15641894,5.718942115,-26.82704903,20.07212473,-11.49353178,-4.966867414,-11.45043553,-3.605580962,36.31995141,-20.22182756,78.72814957,15.09955315,Group 2,3/16/17,,,
20170316-04,-29.49791722,-10.88022204,6.047774513,-10.43420398,-22.89667668,-30.29390047,-16.96841394,-16.60224497,17.60728075,13.47879185,-16.82374875,-10.49573942,-1.232941848,-0.925140437,,-3.305764403,-24.68831404,22.28741442,-5.034479853,-4.641163609,-12.606374,-7.36608085,-8.004036499,-19.17634748,98.78206524,10.89919534,W,3/16/17,,,
20170316-05,-23.67013501,-9.44699274,9.429689961,-1.064385349,-15.5454532,-32.02739023,-16.82492617,-12.64025661,29.00093012,19.12044073,-12.9453526,-8.944732204,13.38702725,1.674318453,-25.07855564,-3.044854389,-26.66286544,22.40429484,1.990701409,-5.569006424,-7.555062727,-8.00066299,-9.332771973,-20.63733888,87.97171075,-3.454058266,Group 3a,3/16/17,,,
20170316-07,0.241133506,-4.805419859,12.82951969,22.55088282,15.04251927,-35.19506356,-20.74786288,20.66869583,-10.07964037,-10.34124118,-14.98939035,-7.299758133,-22.81911882,3.122545181,-36.47561069,5.583987321,-33.01695738,-0.093118688,8.072543004,3.435724678,16.57633542,3.935424624,-15.24924607,-29.6529681,6.630818986,-54.50919227,W,3/16/17,,,
20170317 01,-51.36307606,-18.68529485,9.253102825,-28.91812406,-70.49381647,-23.71990643,-4.572449994,-17.71229434,100.7256036,59.7219318,-19.69722047,-12.28587963,62.74659736,8.715203459,-28.08970685,4.932851443,-29.53593128,12.65191224,-15.58868357,-6.235874201,-12.30303043,-8.628739849,65.32143758,-20.60537647,38.14736199,16.63008078,Group 2,3/17/17,,,
20170317 02,8.908922901,-3.848996346,5.570708451,16.4106676,1.054600603,-33.0330124,-21.25343686,19.73871805,-5.031479833,-4.188841188,-6.653854751,-3.624293939,-10.49348953,5.212509162,-30.77064746,4.746383423,-11.16791624,2.725870312,-21.17428015,4.041641167,15.00421334,6.593183843,2.809713984,-14.47392104,-14.49726899,-44.03133813,Group 3a,3/17/17,,,
20170317 03,-28.08418073,-9.980075593,4.319634189,-17.96720142,-19.90149693,-29.86627568,-15.70988289,-24.08992447,23.24176506,21.76883276,-11.29231267,-8.336185565,10.38186649,-0.276787872,-17.23022328,-1.35896865,-32.77429332,30.68590761,19.27638958,-5.697135317,-19.56207118,-11.74568075,-6.235602565,-13.04179204,169.6844755,50.10795115,Group 3a,3/17/17,,,
20170317 04,-24.81581864,-11.44244312,6.801336423,-7.4619283,-20.613131,-30.05181463,-16.67030356,-18.40511277,45.37124806,35.92690716,-15.55051029,-10.56464355,23.95216464,0.023505721,-21.17795128,0.868046145,-32.76453117,24.37855766,-1.382456474,-8.654135764,-10.73927723,-12.69902844,-3.150667511,-20.3967797,99.14873546,30.12713886,Group 2,3/17/17,,,
170320-1,-45.89323614,-15.96430261,10.03839018,-20.53247449,-65.18368371,-31.57906759,-15.93287261,-19.78683247,108.1289181,88.59237999,-21.10195306,-11.75771382,65.7972207,8.857500846,-45.18141816,0.799979284,-33.72580353,30.49553591,-51.09000476,-2.225384947,-18.02038143,-4.010326592,54.71034667,-18.0496496,-33.63724047,-75.08840401,Group 2,3/20/17,,,
170320-2,-19.08913644,-12.42858758,8.292126185,1.880719158,-37.16117343,-31.8486343,-16.93442639,2.268442116,62.13972994,47.93282369,-13.38120698,-7.234989405,41.80127635,6.599488422,-33.70874157,2.329726813,-27.7353817,8.081211639,-39.60570669,-0.266482589,2.467666441,-1.550096325,27.48339731,-9.733748859,-38.57228506,-75.24834177,Group 2,3/20/17,,,
170320-3,-30.052744,-13.50277588,12.50997039,-1.595146057,-40.88057023,-29.42284454,-14.41231078,-13.06025537,50.27623026,44.89183939,-15.77288513,-10.36518332,27.79703662,6.276080305,-28.940822,-2.222038444,-41.74349974,18.6646859,-36.40701776,-5.520046894,-8.047184214,-9.664099375,20.93966297,-16.31963435,-7.431709321,-56.41744634,Group 2,3/20/17,,,
170320-4,-48.32485654,-17.4626434,8.79745652,-22.05811187,-65.25940878,-25.46232284,-13.3761342,-15.90649701,50.53010311,71.60207548,-18.37277056,-11.51191358,24.06148691,6.908676021,-26.17085821,1.326355322,-25.87320863,18.30367785,-40.94937363,-9.429246504,-7.218624958,-11.14988721,48.19157081,15.44476529,-41.36647298,5.508490967,Group 2,3/20/17,,,
170320-5,-6.623178293,-8.422637454,7.10666764,4.62160046,-12.60849383,-32.59052972,-19.21289479,-4.081815488,17.74481525,21.4644256,-8.823924853,-5.143452817,8.393004032,-0.511137939,-32.2604625,-3.963581396,-24.77855571,12.99020627,-25.95123908,-0.39502504,-3.770936095,-2.452103434,6.630636838,-3.745900647,-17.72417995,-48.31415747,Group 3a,3/20/17,,,
