Sample,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,Type
SH3-A,43.445489,122.750551,-26.14457424,-8.335467731,31.73380855,-26.82831736,-13.47863687,2.131099587,11.23578958,-25.13989094,4.397701067,Group 4
SH3-B,45.89357997,90.22508107,-15.11818998,-1.177046405,21.85743625,-20.92706109,-12.43409867,1.243501021,9.951465722,-19.8055264,7.590708603,Group 4
SH3-C,38.47273365,101.2652591,-10.05770301,3.023619013,10.31895297,-23.03363417,-15.00161738,-0.845952096,6.635659894,-23.55293171,7.805914971,Group 4
SH3-D,51.62600044,85.55549463,-18.94599273,-11.94643174,18.47953306,-26.30389557,-7.683545567,1.505539579,2.6250404,-25.06517774,8.057565857,Group 4
SH3-E,23.32001809,9.935962838,-15.34711904,-1.202353179,-7.556865239,16.76567154,97.09578814,-18.02765542,-30.77815175,-4.11913486,1.346830056,W
SH1,62.62641332,147.9104623,-12.01237686,2.460036191,20.45265345,-21.34126258,-13.20204714,1.698937372,1.278983846,-19.86674355,-0.697411438,Group 4
SH2,40.54083442,50.58231761,-9.277667198,11.73943569,-5.042138946,-7.950768857,7.241689578,-6.283523738,-2.626206842,-13.5857188,7.084074273,Group 3
SH3,71.66455495,155.8209066,-20.14877178,-10.03625354,22.1944638,-34.52771759,-23.59379623,3.933721954,0.948024725,-31.83469744,10.8273812,Group 4
SH4,81.58528088,148.5628048,-19.67909502,-3.359576967,27.19126343,-26.51337468,-18.18518161,1.955543226,2.618808615,-24.94691425,13.12679447,Group 4
SH5,81.95742927,148.3167251,-17.38604719,-1.972342902,24.16290001,-35.49331738,-24.45050204,0.574223069,2.606507741,-35.01085849,4.905307394,Group 4
170308-01,6.628513161,34.09686424,-16.22829758,-12.87535434,-35.43590689,-6.199655547,-2.401453002,-4.198496749,-4.743498587,-9.982662647,-26.65045643,Group 3
170308-02,-14.04857181,7.286532448,-20.07845987,-17.63516415,-36.08639013,-6.26372682,-5.297482334,-2.569965147,-2.804562056,-8.514988669,-23.60524792,Group 3
170308-03,12.08908744,47.71689828,-17.39444527,-15.58613483,-26.17793504,-1.301618088,-5.804305433,-4.106699884,-4.946082727,-5.191406591,-19.17410828,Group 3
170308-04,12.51716518,33.39345512,-18.70256727,-17.44698055,-13.71820726,-8.374607004,-12.07861481,-4.879216104,-2.058061909,-12.69468638,-21.87018419,Group 3
170308-05,-5.602125547,-36.52597539,-14.87165719,-11.47288659,-20.96496637,53.41113933,37.39521215,-11.88243077,-6.985275046,35.41563462,-14.6947519,Group 3
170308-06,13.68486214,-4.974840469,-15.73205067,-18.56953219,-20.72730558,45.5658898,17.74519977,-17.18800814,-12.24312913,20.75420301,-18.90890567,W
170308-07,20.5559717,-37.3292894,-20.19217862,-15.12348921,-20.79988458,59.68643681,31.09196633,-11.36418024,-18.33490387,41.78382933,-17.20063477,W
170308-08,66.88156931,31.24534325,-17.84488976,-15.4456012,-24.49833678,26.14224191,-18.83439004,-41.30754022,-18.71175841,-25.83615081,-20.60635301,W
170310-1,-3.624302806,-43.57207331,-30.26232368,-10.06057245,-15.96291523,68.15139617,85.27200984,-8.657576462,-5.712575811,53.85882578,-0.895907762,Group 2
170310-2,3.184134003,-34.25230592,-30.33308743,-9.422548137,-14.98268181,34.32098926,40.87885504,-10.62955703,-6.463324618,20.25058503,9.838884668,Group 2
170310-3,5.979919538,-16.64200628,-32.93670625,-15.4456012,-5.654832071,9.527424322,12.20583558,-5.04884859,-4.288507337,4.177160517,7.248105822,Group 3a
170310-4,21.84850299,29.04783529,-30.84455927,-12.78546281,5.163726188,-8.578202701,-5.934427101,-4.431993612,-2.467958285,-12.4791177,2.693391559,Group 3a
170310-5,25.56289642,15.01742478,-35.19293117,-16.08098108,2.945428839,-8.087389723,-4.787007395,-7.815964534,-3.047516181,-15.1249151,11.18693568,Group 3a
20170316-01,-12.56356171,-42.73378436,-29.00875148,-9.495476842,-23.33193288,34.32742719,47.23314401,-8.973649559,-6.994474633,22.48452804,8.044946522,Group 2
20170316-02,-0.940974989,2.172074666,-31.55766376,-15.1441686,-15.32695892,-11.54283012,1.15034361,-6.799524842,-6.464898952,-17.41511421,-2.674947076,Group 3a
20170316-03,-3.300355224,-41.02635924,-29.22718609,-9.773952298,-14.70703511,66.465578,46.54450879,-15.68914856,-10.2782048,40.59093653,12.44973083,Group 2
20170316-04,-2.41998612,-6.967159337,-30.21939022,-14.36618334,-15.53195582,3.929343398,2.766135196,-14.00293153,-8.69921926,-10.46945335,3.621106774,W
20170316-05,7.788230333,1.902824123,-31.95473294,-14.21819864,-11.51912109,13.99789094,7.875199559,-9.993004486,-7.11708039,2.783283442,6.339847011,Group 3a
20170316-07,33.51655853,38.8102601,-35.12579225,-18.26408116,22.21730341,-20.53753922,-18.80523242,-12.10636318,-5.439088572,-30.03693122,7.854528506,W
20170317 01,-22.55782063,-64.39785015,-23.6383691,-1.581726804,-16.65625107,77.38085649,44.64381731,-16.9738534,-10.52529098,47.52683839,13.70381705,Group 2
20170317 02,26.82692574,21.93244275,-32.96143004,-18.78549995,21.27539071,-16.07648879,-13.23363301,-3.48813845,-1.689850845,-18.86397185,10.04039465,Group 3a
20170317 03,-10.62702527,-3.353176588,-29.79130833,-13.06820962,-23.11572882,8.908527095,10.27357735,-8.2839038,-6.496319068,0.059159722,4.299210288,Group 3a
20170317 04,0.818244493,-4.211833989,-29.97704561,-14.05873011,-17.35796082,28.46431159,23.09509724,-12.6865128,-8.769506432,12.36038884,4.61328345,Group 3a
170320-1,-13.42183527,-57.99064598,-31.50593108,-13.2981879,-18.75741289,83.92315219,70.78882937,-18.42622572,-9.986523882,50.29217312,13.85264403,Group 2
170320-2,10.99685853,-24.1786957,-31.77578593,-14.33113062,3.58090914,43.282589,33.96762788,-10.44364031,-5.373019813,28.54028483,11.49101821,Group 3a
170320-3,7.209977925,-28.66651847,-29.3474032,-11.72997128,-11.94450993,32.79883558,31.21371943,-12.91642919,-8.56604265,15.84569554,11.15276987,Group 2
170320-4,-15.08398447,-58.08201582,-25.38264802,-10.66132066,-14.82727895,33.02318256,55.40244834,-15.60448645,-9.735789965,12.45948749,11.8143935,Group 2
170320-5,13.98298993,5.446558182,-32.51847438,-16.68100679,-2.850844804,4.050882391,9.997906915,-5.731803732,-3.239502122,-1.743708021,4.054106601,Group 3a
170320-6,33.46912238,33.72810422,-37.25454043,-21.96836911,21.25567114,-13.34949251,-8.701061598,-4.917246163,-0.517317451,-17.46801932,5.491874704,Group 3a
170320-7,-20.33629277,-58.05951146,-28.87154381,-8.326475597,-16.29994278,105.0572946,74.82775439,-15.76175209,-8.655705401,73.03499881,11.56422909,Group 2
170320-8,18.16383565,14.75277361,-35.8206068,-19.80682809,2.273676735,-11.31368343,-2.752061622,-6.365083361,-4.101319925,-16.81522399,2.095167109,Group 3a
170320-9,47.29417315,66.47814009,-36.39990114,-16.93273887,30.13210189,-22.975987,-13.87620038,-2.610500519,1.972033421,-24.85714678,7.076571447,Group 3a
170321-1,-7.302207625,-36.73089339,-27.97973566,-8.249482155,-18.83651422,60.28290947,45.775748,-9.487239986,-7.841093104,45.32704099,4.437898253,Group 2
170321-2,21.75333818,45.44969781,-35.29823177,-17.97304247,11.38643188,-16.36177967,-5.771848782,1.366146085,-2.007015437,-15.07273779,12.97494642,Group 3a
170321-3,20.03879013,54.25452449,-37.89530318,-21.33496231,9.585693068,-15.11899687,-8.034222733,2.150114873,-2.431939426,-13.14421125,-0.295028603,Group 3a
170321-4,-1.270820021,-17.82693372,-32.18641767,-11.09569282,-4.788254233,26.53426524,17.92303433,-5.433601041,-6.920239671,19.86555619,3.28096715,Group 3a
